revision=e38200bc49b68f025c19c8a22fef4a9ea5969222 model=MacBookPro18,2 chip=Apple M1 Max memory_bytes=68719476736 os=15.7.5 build=24G624 arch=arm64 swift=swift-driver version: 1.120.5 Apple Swift version 6.1.2 (swiftlang-6.1.2.1.2 clang-1700.0.13.5) policy=clean-process-cold-app-state-warm-os-caches start=static-initializer stop=window-ready
sample=1 startup_ready_ms=145.912
sample=2 startup_ready_ms=141.274
sample=3 startup_ready_ms=185.225
sample=4 startup_ready_ms=164.657
sample=5 startup_ready_ms=149.021
sample=6 startup_ready_ms=151.498
sample=7 startup_ready_ms=149.251
sample=8 startup_ready_ms=155.279
sample=9 startup_ready_ms=145.292
sample=10 startup_ready_ms=139.395
sample=11 startup_ready_ms=142.078
sample=12 startup_ready_ms=148.404
sample=13 startup_ready_ms=141.097
sample=14 startup_ready_ms=146.401
sample=15 startup_ready_ms=153.402
sample=16 startup_ready_ms=197.832
sample=17 startup_ready_ms=159.076
sample=18 startup_ready_ms=153.671
sample=19 startup_ready_ms=153.853
sample=20 startup_ready_ms=149.123
summary samples=20 p50_ms=149.123 p95_ms=185.225 max_ms=197.832 target_ms=2000 result=PASS
