revision=db19297de665daedad53bc2c23580e708d859fce model=MacBookPro18,2 chip=Apple M1 Max memory_bytes=68719476736 os=15.7.5 build=24G624 arch=arm64 swift=swift-driver version: 1.120.5 Apple Swift version 6.1.2 (swiftlang-6.1.2.1.2 clang-1700.0.13.5) policy=clean-process-cold-app-state-warm-os-caches start=static-initializer stop=window-ready
sample=1 startup_ready_ms=165.559
sample=2 startup_ready_ms=142.748
sample=3 startup_ready_ms=158.096
sample=4 startup_ready_ms=136.864
sample=5 startup_ready_ms=139.254
sample=6 startup_ready_ms=155.089
sample=7 startup_ready_ms=142.559
sample=8 startup_ready_ms=160.043
sample=9 startup_ready_ms=144.297
sample=10 startup_ready_ms=154.195
sample=11 startup_ready_ms=126.483
sample=12 startup_ready_ms=153.899
sample=13 startup_ready_ms=137.279
sample=14 startup_ready_ms=149.538
sample=15 startup_ready_ms=147.375
sample=16 startup_ready_ms=146.053
sample=17 startup_ready_ms=151.949
sample=18 startup_ready_ms=145.795
sample=19 startup_ready_ms=160.703
sample=20 startup_ready_ms=147.384
summary samples=20 p50_ms=147.375 p95_ms=160.703 max_ms=165.559 target_ms=2000 result=PASS
