run_url=https://github.com/leetn9468/OpenDraw/actions/runs/29347892897
artifact_id=8316895945
revision=94fb0f057510639b93d9802fe93ab4aa5f0b18de model=VirtualMac2,1 chip=Apple M1 (Virtual) memory_bytes=7516192768 os=15.7.7 build=24G720 arch=arm64 swift=swift-driver version: 1.120.5 Apple Swift version 6.1.2 (swiftlang-6.1.2.1.2 clang-1700.0.13.5) policy=clean-process-cold-app-state-warm-os-caches start=static-initializer stop=window-ready
sample=1 startup_ready_ms=772.003
sample=2 startup_ready_ms=217.886
sample=3 startup_ready_ms=191.124
sample=4 startup_ready_ms=164.127
sample=5 startup_ready_ms=160.537
sample=6 startup_ready_ms=143.810
sample=7 startup_ready_ms=117.845
sample=8 startup_ready_ms=141.988
sample=9 startup_ready_ms=159.842
sample=10 startup_ready_ms=164.790
sample=11 startup_ready_ms=160.575
sample=12 startup_ready_ms=146.200
sample=13 startup_ready_ms=180.365
sample=14 startup_ready_ms=188.477
sample=15 startup_ready_ms=164.341
sample=16 startup_ready_ms=180.697
sample=17 startup_ready_ms=199.552
sample=18 startup_ready_ms=218.551
sample=19 startup_ready_ms=225.979
sample=20 startup_ready_ms=213.990
summary samples=20 p50_ms=164.790 p95_ms=225.979 max_ms=772.003 target_ms=2000 result=PASS
