revision=b01364b9dfa50bc6b66846bd8a313e2f67ec6433 model=MacBookPro18,2 chip=Apple M1 Max memory_bytes=68719476736 os=15.7.5 build=24G624 arch=arm64 swift=swift-driver version: 1.120.5 Apple Swift version 6.1.2 (swiftlang-6.1.2.1.2 clang-1700.0.13.5) policy=clean-process-cold-app-state-warm-os-caches start=static-initializer stop=window-ready
sample=1 startup_ready_ms=162.816
sample=2 startup_ready_ms=139.778
sample=3 startup_ready_ms=144.413
sample=4 startup_ready_ms=133.082
sample=5 startup_ready_ms=139.223
sample=6 startup_ready_ms=130.468
sample=7 startup_ready_ms=129.730
sample=8 startup_ready_ms=143.428
sample=9 startup_ready_ms=145.021
sample=10 startup_ready_ms=135.209
sample=11 startup_ready_ms=136.324
sample=12 startup_ready_ms=124.301
sample=13 startup_ready_ms=147.359
sample=14 startup_ready_ms=134.076
sample=15 startup_ready_ms=143.250
sample=16 startup_ready_ms=147.748
sample=17 startup_ready_ms=128.128
sample=18 startup_ready_ms=146.242
sample=19 startup_ready_ms=141.168
sample=20 startup_ready_ms=141.136
summary samples=20 p50_ms=139.778 p95_ms=147.748 max_ms=162.816 target_ms=2000 result=PASS
